,station_id,zipcode
330,397.0,11207
331,2009.0,10038
332,161.0,10003
333,3686.0,10014
334,3162.0,10024
335,3570.0,11101
336,3382.0,11231
337,3536.0,10027
338,3637.0,11238
339,270.0,11238
340,3049.0,11238
341,3601.0,11225
342,293.0,10003
343,3692.0,11251
344,3591.0,11106
345,507.0,10010
346,3463.0,10003
347,223.0,10011
348,3313.0,11215
349,303.0,10012
350,376.0,10038
351,3321.0,11231
352,492.0,10018
353,3523.0,11102
354,268.0,10013
355,79.0,10005
356,3381.0,11231
357,150.0,10009
358,323.0,11201
359,236.0,10003
360,278.0,11201
361,3300.0,11215
362,3359.0,10021
363,3596.0,11225
364,3411.0,11217
365,297.0,10003
366,482.0,10011
367,284.0,10014
368,3121.0,11101
369,3125.0,11101
370,3308.0,11231
371,3255.0,10018
372,3315.0,11231
373,326.0,10009
374,382.0,10003
375,3467.0,10012
376,3456.0,11211
377,3354.0,11215
378,3746.0,10013
379,3662.0,11369
380,3347.0,11231
381,3478.0,11232
382,3122.0,11109
383,3348.0,11231
384,377.0,10005
385,3690.0,10012
386,3361.0,11215
387,496.0,10003
388,3787.0,11251
389,391.0,11201
390,440.0,10017
391,3339.0,11217
392,3296.0,10128
393,3365.0,11215
394,439.0,10009
395,3610.0,11106
396,3612.0,11102
397,415.0,10038
398,3598.0,11103
399,3427.0,10012-3332
400,514.0,10018
401,259.0,10004
402,434.0,10011
403,3790.0,11201
404,3403.0,11215
405,216.0,11201
406,3304.0,11215
407,261.0,11201
408,3486.0,11217
409,327.0,10282
410,3127.0,11109
411,3631.0,11225
412,3235.0,10017
413,3128.0,11101
414,3368.0,11209
415,128.0,10012
416,3311.0,11231
417,3590.0,11225
418,3408.0,11201
419,3565.0,11101
420,400.0,10002
421,3656.0,10009
422,472.0,10016
423,3142.0,10065
424,3157.0,10028
425,224.0,10038
426,3141.0,10065
427,157.0,11231
428,3440.0,11231
429,477.0,10036
430,405.0,10014
431,127.0,10014
432,3399.0,11215
433,3342.0,11231
434,3422.0,11231
435,3324.0,11215
436,3526.0,11105
437,522.0,10022
438,347.0,10014
439,3472.0,10011
440,3555.0,11101
441,330.0,10013
442,3745.0,11106
443,3603.0,11369
444,280.0,10009
445,3782.0,11201
446,3298.0,11201
447,3561.0,11101
448,3560.0,11101
449,3615.0,11101
450,316.0,10038
451,476.0,10016
452,291.0,10002
453,3789.0,11207
454,319.0,10038
455,325.0,10003
456,489.0,10001
457,3373.0,11215
458,3554.0,11101
459,305.0,10022
460,308.0,10038
461,281.0,10153
462,341.0,10002
463,3461.0,10007
464,2003.0,10009
465,3691.0,11103
466,237.0,10003
467,3593.0,11106
468,167.0,10016
469,3783.0,10038
470,360.0,10045
471,254.0,10014
472,3586.0,11101
473,3522.0,11101
474,304.0,10275
475,3605.0,11369
476,279.0,10038
477,448.0,10018
478,3724.0,10019
479,3747.0,10028
480,3416.0,11217
481,500.0,10019
482,296.0,10002
483,3393.0,11231
484,3711.0,10009
485,466.0,10001
486,468.0,10107
487,3618.0,11101
488,3297.0,11215
489,342.0,10002
490,3426.0,07304
491,483.0,10009
492,358.0,10014
493,455.0,10017
494,2022.0,10155
495,383.0,10014
496,3804.0,11201
497,3126.0,11101
498,3721.0,11101
499,3749.0,10016
500,499.0,10034
501,3307.0,10025
502,310.0,11208
503,82.0,10038
504,264.0,10038
505,474.0,10035
506,119.0,11251
507,302.0,10009
508,2021.0,10036
509,3330.0,11231
510,3396.0,11231
511,3589.0,11373
512,528.0,10016
513,426.0,10282
514,462.0,10011
515,3720.0,11217
516,3150.0,10028
517,3602.0,11369
518,3641.0,10010
519,423.0,10019
520,3376.0,10065
521,3326.0,11231
522,3372.0,10021
523,248.0,10013
524,3803.0,11225
525,3410.0,11217
526,3654.0,11101
527,3137.0,10021
528,3317.0,11215
529,3795.0,11215
530,332.0,10002
531,116.0,10011
532,3842.0,11221
533,3823.0,11206
534,346.0,10014
535,3821.0,11206
536,3820.0,11221
537,3788.0,10003
538,3853.0,11237
539,3822.0,11206
540,3817.0,11211
541,3854.0,11222
542,146.0,10014
543,3816.0,11211
544,3850.0,11237
545,3849.0,11237
546,3819.0,11222
547,3818.0,11222
548,249.0,10013
549,3843.0,11237
550,3844.0,11385
551,212.0,10011
552,493.0,10036
553,3839.0,11237
